"NAME","PHYLUM","CLASS","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"scaffold_4475117","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.817082494,0.943582609,0,0,0,0,1.236875982,1.249379261,0,0,1.087552385,0
"scaffold_4506472","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.86353983,1.005364051,0,0,0,0,1.315693977,1.332165427,0,0,0,0
"scaffold_4529734","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0.910602407,0,0,0,0,1.283749924,1.600490461,0,0,0,0
"scaffold_4530442","Bacillota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.742622465,0,0,0,0,0.734383336,0,0,0,0,0,0
"scaffold_4546226","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.022521113,0,0,0,0.805771428,1.286217477,1.546467497,0,0,0,0
"scaffold_4560857","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.865800709,0,0,0,0,0,0,0,0,0,0,0
"scaffold_4621250","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.882703957,0.900581423,0,0,0,0,1.148434751,1.431880923,0,0,0,0
"scaffold_4632373","Undefined","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0,0,0,0,0,0,0,0,0,0,0
"scaffold_4677997","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0.928833992,0.774836524,0,0,0,1.228779379,1.518231809,0,0,0,0
"scaffold_4680172","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.876223127,1.03063636,0,0,0,0.854951015,1.440280389,1.303009769,0,0,0,0
"scaffold_4680241","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.897748656,1.03063636,0,0.709015319,1.090941085,0.834069505,1.396030474,1.546110421,0,0,1.239397884,1.146494748
