"CLASS","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"Chitinophagia",0.000812446902293638,0.00101616716271622,0.00199712781886737,0.00380909553546177,0.00553059100458818,0.00456064606574973,0.00170853320967813,0.000864919198922026,0.00211898202,0.00160100073531781,0.00335768470573294,0.00377639857385552,0.0012836754832225,0.00137071438164528,0.00159993832246407,0.00120482306547559,0.00190215136330276,0.00104736210804327,0.00130609169205085,0.00172999442163894,0.0017838077700166,0.00159778013778816,0.00172718076228075,0.000926978562006933
"Chlamydiia",3.31396424081742e-05,4.13400722662045e-05,0.000116196093387027,0.000119047175393549,0.00011223607370323,9.44724015475382e-05,4.56426335918798e-05,3.89575558964958e-05,8.90274016097511e-05,9.81400267761148e-05,5.55645223170935e-05,7.16464877748167e-05,7.86976470636032e-05,7.17574344478795e-05,7.44384054318768e-05,7.65423347837746e-05,8.89517673406615e-05,7.87925421300829e-05,8.51284868687338e-05,8.53026171273032e-05,8.71167557986146e-05,8.90520286128767e-05,8.47238171640654e-05,7.02430366031252e-05
"Chlorobiia",0.000346983483476483,0.000380751461042713,0.00060946224316618,0.000557554857973614,0.000583180130471266,0.000534735678257494,0.000390602164712599,0.000386673374695719,0.000572834334506826,0.000494728269307952,0.00038423499904574,0.000500278917283913,0.000545588328134678,0.000544720909637401,0.000651646207551555,0.000620738570643769,0.000525158406082323,0.000506631594340381,0.000533629496390119,0.00058055957656641,0.000590713269193798,0.000626917919741824,0.000496263918963692,0.00040601335860935
"Chloroflexia",0.00061982558766185,0.000851323624554725,0.000552916662263038,0.000840162500429605,0.000868655007638019,0.000945745338735355,0.000725172887441136,0.00076156729559276,0.000520528932426543,0.000625825767762612,0.000583369964120044,0.000765674417006513,0.000543123320628046,0.000522014609776808,0.000566972521372795,0.000603848947475518,0.000568409365565439,0.000520520449224327,0.000508012127656472,0.000534969270269801,0.000496341821725625,0.000598975929543261,0.000521447461120058,0.000414811669524922
"Chrysiogenetes",1.75068731618355e-05,2.17035379397574e-05,3.74980198597395e-05,3.65078004540218e-05,3.91521187336847e-05,3.07856011220549e-05,2.19271980408751e-05,1.93251328986999e-05,3.4990510357155e-05,2.89293362511682e-05,2.94503472322483e-05,2.44963785735379e-05,3.82532646399649e-05,3.88263910395137e-05,4.10297401368559e-05,3.85856018657643e-05,3.61686705461278e-05,3.54789017388e-05,3.66525429573715e-05,3.89954821153386e-05,3.84498658486599e-05,3.92302755156882e-05,3.72055498373468e-05,2.98377500615045e-05
"Chthonomonadetes",3.29568030017842e-05,3.81456121365433e-05,7.81009713002217e-05,7.10832409596265e-05,7.36059832193273e-05,5.14309213058026e-05,3.87025689692339e-05,3.3221474046705e-05,8.01535196016478e-05,6.55487492273304e-05,4.91222588600392e-05,5.22444888161296e-05,7.14852176923449e-05,7.31391565489298e-05,7.05835594362975e-05,7.69915268893132e-05,7.60343850027588e-05,6.81978387250209e-05,6.58169319772155e-05,7.05359455909801e-05,6.1423056135595e-05,7.9923847276189e-05,6.97390398176301e-05,4.83907100356451e-05
"Clostridia",0.00404897865450492,0.00431026626201,0.00530435763414006,0.0056956999608145,0.00611712703095091,0.00615675546610385,0.00451568290682946,0.0038459404502517,0.00472350246206938,0.00480995989441891,0.00416078186990608,0.00539267179995867,0.0050849909481729,0.00486785301940362,0.00491740992454471,0.0051318401289361,0.00454531504582397,0.00507383907313261,0.00467457862384283,0.00482217845106791,0.00467758336547565,0.00503032472425053,0.00433863431702034,0.00415973620368664
"Coprothermobacteria",7.81638462316935e-06,1.23550443250134e-05,1.12852320915458e-05,1.13181082692998e-05,1.16337724237235e-05,1.19640724739739e-05,9.70757505498937e-06,8.97969956247011e-06,1.03167896516972e-05,1.17182121523719e-05,9.66339518558148e-06,1.28985356205797e-05,1.59312522187921e-05,1.59358615654469e-05,1.41787438917861e-05,1.64404310627122e-05,1.26501261516013e-05,1.46456194128798e-05,1.4976307875055e-05,1.56985488662852e-05,1.02774798652078e-05,1.33090277504378e-05,1.00278357907703e-05,1.06631702944159e-05
"Coriobacteriia",0.00176229761848931,0.00181985574945511,0.00172956631091913,0.00163974544194245,0.00162417903600175,0.00168956047864169,0.00172667104728087,0.00166858523809093,0.00170219814714787,0.0017375911457189,0.0014850567672699,0.0017605417211535,0.0016747900076082,0.00154909470489087,0.00182170273864654,0.00169655366340868,0.00136153664111267,0.00143580488918853,0.00145664299753167,0.00156204145363115,0.00162493002245327,0.0015228036254349,0.00129262221923413,0.0012175140898494
"Cyanophyceae",0.00370098955429329,0.00423153221528482,0.00580520698220295,0.00623551851497586,0.00671671376355819,0.00635212001540447,0.00419818559461431,0.00388776604707309,0.00522693293891934,0.00506373242634371,0.00435761602660287,0.00533695879736222,0.0052451251395297,0.00517956952540057,0.00534294947559694,0.00560569288106875,0.00538409858653103,0.00509226851519016,0.00500129860353811,0.00535872474451149,0.0051600808172652,0.00581297917290455,0.00504844555725567,0.00411794422683767
"Cytophagia",0.00250700252071548,0.00279139442506576,0.00471442063379894,0.00490667598616265,0.00514928665585422,0.00447945086658184,0.00292427925406482,0.00269472930900529,0.00444740208446767,0.00385748896290893,0.0033489991541078,0.00379233205903389,0.00411432577000558,0.0042282999162308,0.00474637882635004,0.00456554364148361,0.00435493955578191,0.00389284125239188,0.00413661388043625,0.0044174569583782,0.00465962800359349,0.0048194707034504,0.00394504176223261,0.00324700708001036
"Deferribacteres",3.06256005703127e-05,3.45753331680983e-05,8.99235953961269e-05,7.61211793965709e-05,8.01686240737354e-05,7.49943079466172e-05,3.98095731421713e-05,3.53383613960326e-05,7.61855235817643e-05,6.15206137999525e-05,4.45206421050004e-05,5.2190293288312e-05,5.77450832572262e-05,6.0703657639477e-05,7.16912738028432e-05,6.45039863553406e-05,5.95090441497866e-05,5.87605398936212e-05,5.51758711186238e-05,6.75969478580226e-05,6.78918228742847e-05,7.63701278245014e-05,6.02239910843424e-05,4.55695125138041e-05
"Dehalococcoidia",0.000112857623594182,0.000137972491188458,0.000162411805761929,0.000171220894000809,0.000177116727604764,0.00018887185143365,0.000136161513271298,0.000126671807516213,0.00014710443426441,0.000136224216271323,0.000115845701808102,0.00016692222567809,0.000161777529694553,0.000157746606536577,0.000162169383262303,0.000165706967733183,0.000164807981552553,0.000149794861168208,0.000152127758941348,0.000160641315111165,0.000133546782483789,0.000174898741641878,0.000146998956478338,0.000122937268282257
"Deinococci",0.00345781314379469,0.00363759751794206,0.00363850213084886,0.00359971053247973,0.00349199611372341,0.00364240350337223,0.00353730410337069,0.00341249069380471,0.00356989780101597,0.00374177161790426,0.00314641297646722,0.00367862984167264,0.00383596251490474,0.00355867132865845,0.00398741725096753,0.00385487681131102,0.00308965968443548,0.00337294402101491,0.00343233329694353,0.00360658031556807,0.00346121339554634,0.00355176839002782,0.00298066023612704,0.00285103527190247
"DeltaPseudomonadota",0.000378340441672355,0.000419178937308344,0.000500550796949357,0.000464939606160198,0.000467886462733596,0.000443546101474156,0.000397797691836692,0.000410983435868642,0.000482219734489122,0.000483742445415103,0.00036680637558603,0.00043145059695561,0.000486108609965377,0.000474253082483835,0.000528113901394369,0.000496671711094012,0.00040297778624485,0.000409498641273804,0.00044653044269572,0.00049167281586233,0.000473066352619125,0.000456339386060821,0.000387837944475987,0.000361830536402892
"Desulfarculia",0.000120308329404572,0.000127073744863731,0.000129033791268944,0.000121255586763169,0.000129463005946051,0.000124601437716753,0.000122664577778177,0.000133705336451076,0.000129068088719485,0.000126703168897521,0.000104686781177133,0.000132562261041756,0.000140459779590897,0.000129283131254941,0.00012557050059163,0.000136599319294283,0.000111534915083133,0.00011921267108721,0.00013675733770116,0.000137201016119041,0.000125143431299884,0.000127167411751565,0.000106773660635816,9.9650434500281e-05
"Desulfobaccia",2.79287193260613e-05,3.54679029102095e-05,7.3682414819934e-05,4.63766387620088e-05,4.69079670161671e-05,4.39898518402823e-05,3.12515793436938e-05,3.28800406032651e-05,5.86541957120969e-05,4.68728486094877e-05,3.27865193796514e-05,3.96711263624552e-05,4.90262604096925e-05,5.39792767476988e-05,6.39815818116846e-05,6.64355124091565e-05,4.86406259068615e-05,4.40704049202159e-05,5.7540551309422e-05,5.31170078078417e-05,7.15796244729769e-05,6.06222729993761e-05,4.95694155566489e-05,3.73450044840305e-05
"Desulfobacteria",0.000509801974866712,0.000541132150493647,0.000714552235129781,0.000724082877813982,0.000763951055824508,0.00077474664435124,0.000543794511413703,0.000532124021601128,0.000680186663190221,0.000606417478885246,0.000564215734377195,0.000680641633860759,0.000787889436379229,0.00076137493508209,0.000674154963479765,0.000741077135717555,0.000706536271185565,0.000746882074496345,0.000736991992798761,0.000813528909056944,0.000649536727481135,0.000763561916697889,0.00066326157068385,0.000604023171116867
"Desulfobulbia",0.000214973432062956,0.000242919901918799,0.0003442294339035,0.000340647453763802,0.000367731614239618,0.000331638252845644,0.00024528657847278,0.000237876680044598,0.000328838651975077,0.000344954870235448,0.000244460890111436,0.000297316665607144,0.000372763912947438,0.00035676064649119,0.000338340276117745,0.000362812463643514,0.000327923340591863,0.000351227772545963,0.0003424845143006,0.000374256272287101,0.000321322385197527,0.000361852257110069,0.000300094381306747,0.000280685244969602
